what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666436244372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666436260254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436323599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436342896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666436347300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666436348625
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1666436349057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1666436371137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666436375137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666436379765
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1666436380597
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666436575955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666436589470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436731261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436735793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436737518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436746095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436750316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436754478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436755135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436796831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436797612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436801534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436802274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436922837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436926832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436928447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436930160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436933345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436934877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436938942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436956043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436960767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436962928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436982174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666436986637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666437209489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666437217672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666437226457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666437234925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666437239479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666445090455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666445091672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666445092343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666445098259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666445223842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1666445226761
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445226980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445227040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1666445228070
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445228300
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445228350
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1666445236515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445242322
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666445242332
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1666445242342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1666445244051
